installation_year,CORROSION FAILURE,EQUIPMENT FAILURE,EXCAVATION DAMAGE,INCORRECT OPERATION,MATERIAL FAILURE OF PIPE OR WELD,NATURAL FORCE DAMAGE,OTHER INCIDENT CAUSE,OTHER OUTSIDE FORCE DAMAGE
1900,1,,1,,,,,1
1901,,,1,,,,,
1902,,,,,,,1,
1903,,,,,2,,,
1906,,,,,,2,,
1907,,,,1,,,,1
1909,,,1,,,,,
1910,1,,,,,,,
1911,,,,,,,,1
1913,,,,,,,,1
1920,1,,,,1,,,
1921,,1,,,,,,
1922,2,,1,,,,,
1923,,1,,,,1,,
1924,3,,1,,2,,,1
1925,1,1,,,,,,1
1926,2,,,1,,1,1,
1927,5,1,2,1,2,1,,
1928,9,,3,,3,1,,1
1929,4,1,,,3,2,2,
1930,7,2,8,,1,2,,2
1931,10,5,6,1,5,,,
1932,5,1,1,,2,1,1,1
1933,2,,1,,,,,
1934,6,,,,,1,,
1935,3,,1,,,,,
1936,1,1,1,,,1,,2
1937,2,,2,,1,,3,1
1938,,,2,,,1,,
1939,2,2,1,1,1,2,,1
1940,7,1,6,,2,1,2,2
1941,2,,10,,2,1,,
1942,3,2,4,,2,1,1,
1943,2,,,1,2,,,1
1944,8,1,3,2,6,1,,1
1945,5,,3,2,,,,1
1946,9,3,4,,6,3,1,1
1947,10,7,4,1,5,1,1,5
1948,8,9,10,2,13,3,1,3
1949,16,4,7,9,11,3,,3
1950,30,11,14,1,19,5,2,7
1951,15,7,7,1,7,3,3,5
1952,26,10,12,14,15,6,2,4
1953,15,6,12,6,13,2,1,8
1954,12,12,10,4,12,2,1,5
1955,24,9,13,3,2,,1,9
1956,13,10,5,3,6,6,,4
1957,19,12,9,3,10,3,1,2
1958,6,8,12,3,6,4,2,2
1959,11,9,18,7,10,5,4,10
1960,13,12,16,5,7,8,4,5
1961,12,5,13,5,5,1,1,3
1962,8,13,14,5,17,1,1,1
1963,15,8,12,4,8,8,1,6
1964,11,6,9,3,9,3,1,3
1965,11,9,9,4,13,9,3,5
1966,20,8,21,2,8,2,3,5
1967,14,8,16,3,15,6,1,11
1968,29,20,11,11,23,3,3,8
1969,16,10,12,2,10,6,4,7
1970,29,25,11,5,11,4,7,6
1971,14,25,8,10,4,3,4,5
1972,19,17,9,5,5,1,1,10
1973,20,10,9,5,9,3,2,7
1974,12,13,6,4,8,7,1,6
1975,24,9,3,2,4,2,3,7
1976,20,7,8,4,8,7,2,1
1977,16,9,6,3,8,4,1,5
1978,20,18,8,6,9,2,3,9
1979,16,10,9,1,12,6,4,9
1980,16,23,6,3,11,3,2,5
1981,14,14,4,7,8,7,1,2
1982,10,18,8,4,5,2,,4
1983,10,9,4,5,6,,1,6
1984,5,7,4,4,5,,1,8
1985,3,12,9,,2,4,2,7
1986,7,13,8,4,1,2,1,5
1987,1,8,7,3,1,1,1,6
1988,3,9,8,,4,1,1,4
1989,6,7,5,6,3,2,2,4
1990,12,7,6,3,3,2,1,7
1991,8,19,6,5,1,5,,5
1992,5,18,3,5,3,4,3,6
1993,8,13,4,3,1,3,1,7
1994,8,9,9,3,1,4,3,12
1995,8,18,7,3,2,1,2,5
1996,9,14,13,7,3,1,2,7
1997,7,21,6,2,3,4,4,10
1998,6,21,10,6,5,5,1,8
1999,10,15,3,2,4,6,1,5
2000,6,13,8,6,2,5,3,5
2001,6,16,7,2,1,1,,6
2002,1,17,11,4,1,4,3,11
2003,5,24,4,3,1,2,3,13
2004,10,11,4,9,1,1,,5
2005,3,29,8,4,5,6,2,5
2006,5,29,7,1,2,8,4,8
2007,4,47,5,11,1,6,1,9
2008,3,50,10,10,8,4,2,5
2009,7,51,10,15,5,4,5,10
2010,6,48,7,10,5,11,3,8
2011,15,38,4,13,3,5,2,6
2012,23,82,5,24,4,6,4,6
2013,15,80,10,27,6,11,2,3
2014,15,114,7,38,5,7,3,6
2015,21,108,9,42,5,9,4,4
2016,12,101,9,39,7,3,2,7
2017,6,65,6,28,2,7,,3
2018,3,77,11,23,1,8,4,3
2019,2,78,3,26,6,7,4,2
2020,,28,3,13,1,4,1,2
2021,,16,1,14,,3,2,3
