datafile_as_of,ff,significant,serious,report_number,supplemental_number,report_received_date,report_type,operator_id,name,operator_street_address,operator_city_name,operator_state_abbreviation,operator_postal_code,local_datetime,time_zone,daylight_savings_ind,iyear,location_street_address,location_city_name,location_county_name,location_state_abbreviation,location_postal_code,location_latitude,location_longitude,total_cost,total_cost_current,injury_ind,injure,num_pub_evacuated,fatal,cause,cause_details,material_involved,material_details,narrative,unintentional_release,installation_year,decade,street,city,state,geoid,state_code,county_code,tract,geoid_clean,GEO_ID,NAME,P1_001N,GEO_ID_clean
2/28/22,NO,YES,NO,20100001,15047,3/11/10,SUPPLEMENTAL FINAL,15007,PACIFIC GAS & ELECTRIC CO,"PG&E - GAS OPERATIONS, REGULATORY COMPLIANCE 6111 BOLLINGER CANYON RD., ",SAN RAMON,CA,94583,2/13/10 23:35,,,2010,1617 EAST 9TH STREET,STOCKTON,SAN JOAQUIN,CA,95201,37.93188,-121.26133,102500,124764.08231137,NO,0,0.0,0,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,OTHER,ALUMINUN,"A FIRE AT AN UNOCCUPIED HOME OCCURRED AT APPROXIMATELY 2335 HOURS ON 2/13/10.   THE FIRE DEPARTMENT CALLED AT PG&E AT APPROXIMATELY 0005 HOURS. THE PG&E GAS SERVICE REPRESENTATIVE (GSR) ARRIVED AT 0020 HOURS.  THE FIRE DEPARTMENT AND GSR WERE UNABLE TO SHUT OFF THE SERVICE VALVE AT THE METER DUE TO DAMAGE TO THE VALVE BY THE FIRE.  A GAS CREW WAS CALLED AND THEY CUT OFF THE GAS SERVICE AT THE MAIN AT APPROXIMATELY 02:30.  ACCORDING TO THE FIRE DEPARTMENT THE THE FIRE APPEARS TO HAVE STARTED IN ONE OF THE CLOSETS IN THE HOME.  THE HOUSE FIRE DAMAGED THE GAS METER WHICH RELEASED NATURAL GAS RESULTING IN A SECONDARY IGNITION.  THE FIRE DAMAGE TO THE HOME RESULTED IN PROPERTY DAMAGES EXCEEDING $50,000.  THERE WERE NO INJURIES AND NO FATALITIES.  NO MAJOR MEDIA WAS PRESENT.",10.0,,,1617 EAST 9TH STREET,STOCKTON,CA,060770022012010,06,077,002201,06077002201,1400000US06077002201,"Census Tract 22.01, San Joaquin County, California",3169,06077002201
2/28/22,NO,NO,NO,20100003,15023,3/15/10,SUPPLEMENTAL FINAL,31840,UNISOURCE ENERGY SERVICES,2901 W. SHAMRELL BLVD.,FLAGSTAFF,AZ,86001,2/22/10 20:57,,,2010,8725 COUNTRY CLUB DRIVE,PINETOP,NAVAJO,AZ,85935,34.10934,-109.8601,2648,3173.5089822474,NO,0,,0,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,STEEL,,"ON 2/22/10 PINETOP FIRE DEPARTMENT RESPONDED TO A FIRE @ 8725 COUNTRY CLUB DRIVE AND NOTIFIED UNISOURCE ENERGY SERVICES THAT THE FIRE WAS AT THE GAS METER AND APPEARED TO INVOLVE ESCAPING GAS.  UPON ARRIVAL IT WAS DETERMINED THAT THE METER SET ASSEMBLY HAD BEEN DAMAGED; GAS WAS ESCAPING, AND HAD IGNITED. THE SERVICE LINE WAS DISCONNECTED.  THIS ACTION EXTINGUISHED THE GAS FIRE. THE FIRE DEPARTMENT EXTINGUISHED A SMALL AREA OF THE ADJACENT STRUCTURE THAT HAD CAUGHT FIRE.   TTHE PROBABLE CAUSE FOR THE DAMAGE TO THE METER SET ASSEMBLY WAS THE FORCE EXERTED UPON IT BY SIX PLUS FEET OF SNOW AND ICE THAT HAD ACCUMULATED AND FALLEN FROM THE ROOF OF THE ADJACENT STRUCTURE.  ON 2/23/10 THE AFFECTED RISER WAS REPLACED THE SERVICE LINE TESTED AND RECONNECTED BY UES CONSTRUCTION PERSONNEL.     ON 4/14/10, A SUPPLIMENTAL FILE WAS UPDATED WITH CORRECTED 14 MCF OF LOST GAS AND $0. ESTIMATED COST FOR PUBLIC AND NON OPERATOR PRIVATE PROPERTY DAMAGE PAID/REINBURSED BY THE OPERATOR. AN UPDATED TOTAL FOR THE ESTIMATED COST TO THE OPERATOR IS $2,648.    ON 5/5/10, A SUPPLIMENTAL FILE WAS UPDATED WITH THIS ADDITIONAL INFORMATION BASED ON A CONVERSATION WITH ANGELA DOW OF PHMSA ON 5/5/10. THE COST OF REPAIRS, AS PROVIDED BY THE CONTRACTOR PERFORMING THE WORK TO THE STRUCTURE ARE $25,000.THESE COSTS ARE BEING COVERED BY PARTIES OTHER THAN THE OPERATOR.",14.0,1999-01-01,1990-1999,8725 COUNTRY CLUB DRIVE,PINETOP,AZ,040179649021018,04,017,964902,04017964902,1400000US04017964902,"Census Tract 9649.02, Navajo County, Arizona",947,04017964902
2/28/22,NO,YES,YES,20100004,15003,3/16/10,ORIGINAL FINAL,13710,NORTHERN ILLINOIS GAS CO,"P.O. BOX 190, RT 59 & I-88 ",AURORA,IL,60507,2/18/10 19:05,,,2010,359 HAWTHORNE CIRCLE,MOUNT PROSPECT,COOK,IL,60056,42.03668,-87.94307,22005,26781.4073818831,YES,1,,0,CORROSION FAILURE,EXTERNAL CORROSION,COPPER,,"CREW WAS DIGGING A HOLE TO FIX A SERVICE LINE LEAK AT A PRIVATE RESIDENCE WHEN AN UNKNOWN IGNITION SOURCE IGNITED THE GAS IN THE HOLE CAUSING FLASH BURNS TO THE FACE OF ONE EMPLOYEE.      NOTE:  PART C 3.A REQUIRES PIPE DIAMETER.  THE DIAMETER OF THE SERVICE LINE INVOLVED IS 5/8"" OD, WHICH IS EQUIVALENT TO 0.625"" OD.  THE DATABASE DOES NOT ALLOW FOR ENTRY OF 0.625 AS AN ACCEPTABLE NUMBER, THEREFORE THE NUMBER 1 WILL BE ENTERED TO ALLOW THIS REPORT TO BE ACCEPTED BY THE DATABASE CONTRAINTS.",1.0,1976-01-01,1970-1979,359 HAWTHORNE CIRCLE,MOUNT PROSPECT,IL,170318051114001,17,031,805111,17031805111,1400000US17031805111,"Census Tract 8051.11, Cook County, Illinois",7786,17031805111
2/28/22,NO,YES,YES,20100005,15639,3/22/10,SUPPLEMENTAL FINAL,6141,NEW MEXICO GAS COMPANY,"7120 WYOMING BLVD. NE STE, 20",ALBUQUERQUE ,NM,87109,2/21/10 1:38,,,2010,303 COUNTY RD. 6100,KIRTLAND,SAN JUAN,NM,87417,36.7435,-108.3338,4843,5871.77393466564,YES,1,0.0,0,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",STEEL,,"A SAN JUAN COUNTY DEPUTY SHERIFF WAS IN PURSUIT OF A VEHICLE WHEN IT CRASHED INTO THE COMPANY'S METER SET, A FENCE AND A TELEPHONE POLE.  THE DRIVER OF THE VEHICLE WAS INJURED AND TAKEN TO THE HOSIPTAL FOR TREATMENT.  THE RELEASE OF GAS FROM THE COMPANY'S FACILITIES WAS NOT THE CAUSE OF THE DRIVER'S INJURIES WHICH REQUIRED MEDICAL ATTENTION OR DAMAGES.",5625.0,,,303 COUNTY RD. 6100,KIRTLAND,NM,350450005071005,35,045,000507,35045000507,1400000US35045000507,"Census Tract 5.07, San Juan County, New Mexico",2653,35045000507
2/28/22,NO,YES,NO,20100006,15422,3/24/10,SUPPLEMENTAL FINAL,31636,NORTHERN STATES POWER CO OF MINNESOTA,414 NICOLLET MALL ,MINNEAPOLIS,MN,55402,2/1/10 10:07,,,2010,2014 VILLARD AVENUE,SAINT PAUL,RAMSEY,MN,55116-2538,44.9096,-93.1852,311150,378635.736318267,NO,0,0.0,0,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,PLASTIC,,"2"" POLYETHYLENE GAS MAIN WAS PUNCTURED DURING THE CLEARING OF THE SANITARY SEWER SERVICE BY THIRD PARTY FROM WITHIN THE HOUSE AT 2014 VILLARD AVENUE. GAS ESCAPED INTO THE HOUSE THROUGH THE SEWER SERVICE AND WAS IGNITED BY AN UNDERTERMINED SOURCE OF IGNITION.",20.0,1991-01-01,1990-1999,2014 VILLARD AVENUE,SAINT PAUL,MN,271230376015001,27,123,037601,27123037601,1400000US27123037601,"Census Tract 376.01, Ramsey County, Minnesota",4165,27123037601
2/28/22,NO,YES,YES,20100007,15007,3/24/10,ORIGINAL FINAL,5300,"FLORENCE GAS DEPT, CITY OF",110 W. COLLEGE ST. / P.O. BOX 937 ,FLORENCE,AL,35631,1/29/10 23:55,,,2010,316 HERMITAGE DRIVE,FLORENCE,LAUDERDALE,AL,35630,34.80663,-87.67568,91413,111167.553102417,YES,1,,0,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION",OTHER,METER,"A VEHICLE TRAVELING EAST ON HERMITAGE DRIVE LEFT THE ROADWAY AND HIT THE RESIDENCE AT 316 HERMITAGE DRIVE. THE TRUCK STRUCK THE HOUSE WHERE THE GAS METER WAS SET BREAKING THE METER OFF AT THE RISER. THE GAS WAS IGNITED AND THE HOUSE AND TRUCK WERE BOTH A TOTAL LOSS. THE OCCUPANTS IN THE TRUCK LEFT THE SCENE ON FOOT AND THE DRIVER WAS ARRESTED LATER THAT AFTERNOON. THE OWNER OF THE HOUSE. JAMES ROBERT WATSON, HAD TO CLIMB OUT OF THE SECOND FLOOR WINDOW TO ESCAPE THE FIRE. IN DOING SO, HE SLIPPED AND FELL TO THE GROUND BREAKING HIS BACK IN 3 PLACES AND ALSO BREAKING HIS PELVIS. HE WAS TAKEN TO ECM HOSPITAL IN FLORENCE AND THEN TRANSFERRED TO HUNTSVILLE HOSPITAL WHERE HE WAS ADMITTED FOR A NUMBER OF DAYS. THE SERVICEMEN WHO RESPONDED SQUEEZED THE SERVICE LINE OFF TO STOP THE FLOW OF GAS SO THE FIRE DEPARTMENT COULD CONTAIN THE FIRE. AFTER THE FIRE WAS EXTINGUISHED TO A SAFE POINT; THE SERVICE LINE WAS KILLED. THE SERVICE LINE WILL NOT BE PUT BACK DUE TO THE HOUSE BEING A TOTAL LOSS. I HAVE INCLUDED THE FLORENCE POLICE REPORT, THE FLORENCE FIRE DEPARTMENT REPORT, AND STATEMENTS OF OUR SERVICE DEPARTMENT PERSONNEL.",14000.0,1989-01-01,1980-1989,316 HERMITAGE DRIVE,FLORENCE,AL,010770106003018,01,077,010600,01077010600,1400000US01077010600,"Census Tract 106, Lauderdale County, Alabama",2672,01077010600
2/28/22,NO,NO,NO,20100008,15008,3/25/10,ORIGINAL FINAL,8040,AMERENIP,500 SOUTH 27TH STREET ,DECATUR,IL,62525,2/26/10 14:17,,,2010,718 ELLIOTT STREET,KEWANEE,HENRY,IL,61443,41.23509,-89.93011,865,1052.88713365205,NO,0,1.0,0,NATURAL FORCE DAMAGE,TEMPERATURE,OTHER,GAS REGULATOR,"AMERENIP RECEIVED A CALL FROM AN OCCUPANT AT AN OFFICE BUILDING AT 718 ELLIOTT IN KEWANEE REPORTING A GAS IGNITION ASSOCIATED WITH A FURNACE.      AMERENIP QUALIFIED EMPLOYEES RESPONDED TO THE CALL AND UPON ARRIVAL FOUND THAT THE BUILDING WAS BEING VENTILATED BY THE KEWANEE FIRE DEPARTMENT.      THE AMERENIP GAS FACILITIES WERE INITIALLY INSPECTED AND DISCOVERED THAT A LEAKING DOWNSPOUT WAS DRIPPING ON THE GAS PRESSURE REGULATOR WHICH ICED OVER CAUSING A SUSPECTED HIGHER THAN NORMAL DELIVERY PRESSURE.      UPON FURTHER INVESTIGATION THE DELIVERY PRESSURE WAS CHECKED AND FOUND TO BE 8.9 PSIG TO CUSTOMER APPLIANCES THAT NORMALLY RECEIVE 0.25 PSIG GAS PRESSURE.      THIS HIGHER THAN NORMAL PRESSURE APPARENTLY CAUSED AN IMPROPER OPERATION OF THE A FURNACE AND A SUBSEQUENT GAS IGNITION.       ESTIMATED PROPERTY DAMAGE IS $18,000 WHICH IS LESS THAN THE $50,000 THRESHOLD FOR A REPORTABLE INCIDENT; HOWEVER, UPON REPORTING THIS EVENT TO THE ILLINOIS COMMERCE COMMISSION, THE MANAGER OF PIPELINE SAFETY RECOMMENDED THAT THIS BE REPORTED AS AN EVENT THAT IS SIGNIFICANT, IN THE JUDGMENT OF THE OPERATOR, EVEN THOUGH IT DID NOT MEET THE CRITERIA OF PARAGRAPH (1) OR (2) IN CFR 49 191.3.    NOTE - THE OPERATOR NAME AND ADDRESS ARE INCORRECT IN THE PHMSA DATA BASE.  PLEASE UPDATE PER THE FOLLOWING LETTER THAT WAS SUBMITTED TO PHMSA IN EARLY 2009.    MARCH 30, 2009    LISTED BELOW IS INFORMATION WE ARE PROVIDING TO UPDATE YOUR DATABASE REGARDING AMEREN SUBSIDIARIES AND THEIR RESPECTIVE MERGER / CONTACT INFORMATION.    AMEREN CORPORATION WAS CREATED DECEMBER 31, 1997 BY THE MERGER OF MISSOURI'S UNION ELECTRIC COMPANY AND THE NEIGHBORING CENTRAL ILLINOIS PUBLIC SERVICE COMPANY  IT IS NOW A HOLDING COMPANY FOR SEVERAL POWER COMPANIES:   AMERENUE, UNION ELECTRIC COMPANY, 1997    AMERENCIPS, CENTRAL ILLINOIS PUBLIC SERVICE COMPANY, 1997    AMERENCILCO, CENTRAL ILLINOIS LIGHT COMPANY, 2003    AMERENIP, ILLINOIS POWER COMPANY, 2004   OPERATOR ID PRIOR COMPANY NAME                      CURRENT COMPANY NAME YEAR OF NAME CHANGE    2204 CENTRAL ILLINOIS PUBLIC SERVICE COMPANY AMERENCIPS                       1997    2200 CENTRAL ILLINOIS LIGHT COMPANY AMERENCILCO                     2003    8040 ILLINOIS POWER COMPANY                      AMERENIP                       2004    20050 AMERENUE (ILLINOIS OPERATIONS) AMERENCIPS                       2005 BEGAN REPORTING AS OPERATOR ID 2204 IN 2005  20050 UNION ELECTRIC COMPANY (MISSOURI OPERATIONS) AMERENUE 1997      AMEREN (UE) MISSOURI - NAME OF OPERATOR  ADDITIONAL CONTACT INFO:  1310 INDUSTRIAL DRIVE  JEFFERSON CITY, COLE COUNTY   MISSOURI   65109    AMEREN (CIPS, IP, CILCO) ILLINOIS - NAME OF OPERATOR  ADDITIONAL CONTACT INFO:  2125 EAST STATE ROUTE #104  PAWNEE, SANGAMON COUNTY  ILLINOIS  62558    SINCERELY,      JEROME S. THEMIG  MANAGER, GAS COMPLIANCE AND TRAINING  (217) 625-6804",0.0,1969-01-01,1960-1969,718 ELLIOTT STREET,KEWANEE,IL,170730309003005,17,073,030900,17073030900,1400000US17073030900,"Census Tract 309, Henry County, Illinois",3570,17073030900
2/28/22,NO,NO,NO,20100009,15009,3/26/10,ORIGINAL,32227,"THE NATURAL GAS COMPANY, LLC","2115 MCDUFFIE ST., #A ",HOUSTON,TX,77019-6523,2/17/10 11:45,,,2010,9059 TUMBLEWOOD DRIVE,BEACH CITY,CHAMBERS,TX,77523,29.74993,-94.84157,1277,1231.8892219758,NO,0,0.0,0,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,PLASTIC,,CONTRACTOR INSTALLING WATER TAP AND HIT LINE WITH BACKHOE WHEN DIGGING.,63.0,2007-01-01,2000-2009,9059 TUMBLEWOOD DRIVE,BEACH CITY,TX,480717102021001,48,071,710202,48071710202,1400000US48071710202,"Census Tract 7102.02, Chambers County, Texas",12163,48071710202
2/28/22,YES,NO,NO,20100010,15039,3/27/10,SUPPLEMENTAL FINAL,12876,QUESTAR GAS COMPANY,333 SOUTH STATE STREET P.O. BOX 45360,SALT LAKE CITY,UT,84111,2/25/10 19:37,,,2010,415 S 100 E,PLEASANT GROVE,UTAH,UT,84062,40.35894,-111.73885,6151,7387.07079817759,NO,0,30.0,0,OTHER OUTSIDE FORCE DAMAGE,"NEARBY INDUSTRIAL, MAN-MADE, OR OTHER FIRE/EXPLOSION AS PRIMARY CAUSE OF INCIDENT",STEEL,,"QUESTAR GAS EMERGENCY DISPATCH RECEIVED A CALL AT 7:47 P.M. FROM PLEASANT GROVE EMERGENCY DISPATCH REGARDING A POSSIBLE EXPLOSION LOCATED AT 85 EAST STATE STREET, IN PLEASANT GROVE, UTAH.  QUESTAR PERSONNEL RESPONDED ON SITE AT APPROXIMATELY 8:00 P.M.  UPON ARRIVAL, THE HOME LOCATED AT 415 SOUTH 100 EAST WAS COMPLETELY DESTROYED, AND NATURAL GAS WAS ESCAPING NEAR THE FOUNDATION OF THE HOME FROM WHERE THE GAS METER ONCE WAS.    THE FORCE OF THE HOME EXPLODING CAUSED THE METER TO BE SEVERED FROM THE SERVICE LINE AND CAUSED THE UNINTENTIONAL RELEASE OF NATURAL GAS.  THE GAS DID NOT IGNITE OR EXPLODE.  THE METER WAS LOCATED APPROXIMATELY TEN FEET FROM THE FOUNDATION OF THE HOME.  THE 3/4 INCH NIPPLE GOING INTO THE REGULATOR HAD FAILED DUE TO THE FORCE OF THE EXPLOSION.    IMMEDIATELY UPON ARRIVAL QUESTAR PERSONNEL PERFORMED TESTS TO CHECK FOR GAS IN THE GROUND AROUND THE DAMAGED HOUSE AND IN THE SEWER MANHOLES.  NO GAS WAS DETECTED IN THE GROUND, IN THE TELEPHONE DUCT WORK OR IN THE SEWER.      QUESTAR PERSONNEL THEN BEGAN TO SECURE THE SITE AND CUT AND CAPPED THE DAMAGE SERVICE LINE.  THE SERVICE LINE WAS LEAK TESTED FROM THE CUT TO THE RISER.  NO LEAKS WERE DETECTED.  THE REMAINDER OF THE SERVICE LINE WAS LEAK TESTED FROM THE CUT TO THE MAIN AND THEN PERMANENTLY RETIRED.  NO LEAKS WERE DETECTED.    ONCE THE DAMAGED SERVICE LINE WAS SECURED ADDITIONAL LEAK SURVEYS WERE CONDUCTED IN THE AREA TO ENSURE THAT THERE WAS NO LEAKING GAS IN THE GENERAL VICINITY.  THE ADDITIONAL LEAK SURVEY INCLUDED ALL SURFACE STREETS, DUCTS, SEWERS, AND GAS LINE LOCATIONS WITHIN A TWO BLOCK LIMIT OF THE DAMAGED HOME.  NO LEAKS WERE DISCOVERED.    THE HOME WAS VACANT AT THE TIME OF THE EXPLOSION.  NO INJURIES OR FATALITIES WERE REPORTED AS A RESULT OF THIS EXPLOSION.    THE CAUSE OF THE EXPLOSION IS STILL UNDER INVESTIGATION AT THIS TIME BY THE PLEASANT GROVE POLICE DEPARTMENT AND UTAH STATE FIRE MARSHALL.    UPDATE:  BASED ON THE TESTING PERFORMED AT THE SITE, THE SOURCE OF THE LEAK IS BELIEVED TO HAVE COME FROM CUSTOMER OWNED PIPING INSIDE THE HOME.",36.0,2005-01-01,2000-2009,415 S 100 E,PLEASANT GROVE,UT,490490005061003,49,049,000506,49049000506,1400000US49049000506,"Census Tract 5.06, Utah County, Utah",4316,49049000506
2/28/22,NO,YES,NO,20100012,15012,3/31/10,ORIGINAL,15952,PUBLIC SERVICE ELECTRIC & GAS CO,80 PARK PLAZA M/C - T18 ,NEWARK,NJ,07102-4194,1/18/10 4:38,,,2010,1700 ROUTE 27,EDISON,MIDDLESEX,NJ,08817,40.51114,-74.40806,506531,594255.486053401,NO,0,30.0,0,NATURAL FORCE DAMAGE,"EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS",CAST/WROUGHT IRON,,"AT APPROXIMATELY 3:05AM PUBLIC SERVICE ELECTRIC AND GAS (PSE&G) RECEIVED A CALL FROM EDISON FIRE DEPARTMENT REPORTING A WIDESPREAD GAS ODOR ON ROUTE 27 EDISON. A PSE&G SERVICE TECHNICIAN WAS DISPATCHED AND ARRIVED ON THE SCENE AT 3:20AM TO DISCOVER THE WIDESPREAD GAS ODOR COMING FROM A CRACK IN THE ROAD IN FRONT OF 1700 ROUTE 27. AT 3:45AM THE ELECTRIC METER WAS PULLED TO 1700 ROUTE 27 EDISON AND BUILDING EVACUATIONS WERE INITIATED IN THE VICINITY OF THE GAS LEAK, WITH ASSISTANCE FROM EDISON FIRE DEPARTMENT. A PSE&G CREW MEMBER BEGAN VENTING OVER THE MAIN AT APPROXIMATELY 3:50AM TO RELIEVE THE GAS BUILD-UP WHICH WAS NOW BUCKLING THE ROADWAY. AT APPROXIMATLEY 4:38AM THE STRUCTURE AT 1700 ROUTE 27 EXPLODED. THE SOURCE OF THE GAS LEAK WAS DETERMINED TO BE A CIRCUMFERENTIAL CRACK IN THE 16"" CAST IRON GAS MAIN ON ROUTE 27. PERMANENT REPAIRS WERE COMPLETE AT 1:05PM JANUARY 18 2010. THERE WERE NO INJURIES TO ANY PSE&G EMPLOYEES THE PUBLIC OR EMERGENCY PERSONNEL. AS A RESULT OF THE INCIDENT A TOTAL OF TWELVE HOMES WERE EVACUATED OF THIRTY PEOPLE AND SIX COMMERCIAL BUILDINGS THAT WERE CLOSED FOR THE NIGHT WERE FORCED TO REMAIN CLOSED THROUGHOUT THE REPAIR.     *QUESTION 17B WAS LEFT BLANK BECAUSE OF SYSTEMS INABILITY TO INPUT DATE AND GREATER THAN THE OPERATOR IDENTIFIED DATE AND TIME.  AS THE DESCRIPTION ABOVE INDICATES THE INCIDENT DID OCCUR AFTER PSE&G PERSONNEL ARRIVED AT THE LOCATION.",3682.0,1959-01-01,1950-1959,1700 ROUTE 27,EDISON,NJ,340230016002000,34,023,001600,34023001600,1400000US34023001600,"Census Tract 16, Middlesex County, New Jersey",5123,34023001600
