year,Gas Distribution,Gas Transmission and Gathering,Hazardous Liquid,total
1984,1229485.0,321915.0,,
1985,1315017.0,325933.0,,
1986,1351985.0,321653.0,,
1987,1352087.0,323988.0,,
1988,1467704.0,315859.0,,
1989,1417499.0,320070.0,,
1990,1546955.0,324331.0,,
1991,1560633.0,326575.0,,
1992,1536382.0,324097.0,,
1993,1612973.0,325319.0,,
1994,1739152.0,332861.0,,
1995,1700449.0,327878.0,,
1996,1694925.0,313218.0,,
1997,1734443.0,328777.0,,
1998,1818184.0,331874.0,,
1999,1764724.0,328335.0,,
2000,1788100.0,326518.0,,
2001,1838359.0,311391.0,,
2002,1899845.0,325741.0,,
2003,1872748.0,324492.0,,
2004,1925748.0,327994.0,166669.0,2420411.0
2005,1962351.0,324222.0,166760.0,2453333.0
2006,2022474.0,321222.0,166719.0,2510415.0
2007,2025731.0,321108.0,169846.0,2516685.0
2008,2075191.0,322913.0,173789.0,2571893.0
2009,2086689.0,324936.0,175965.0,2587590.0
2010,2102483.0,324432.0,181986.0,2608901.0
2011,2121355.0,324347.0,183575.0,2629277.0
2012,2138000.0,319926.0,186221.0,2644147.0
2013,2149819.0,320257.0,192412.0,2662488.0
2014,2169375.0,319354.0,199795.0,2688524.0
2015,2190257.0,318949.0,208622.0,2717828.0
2016,2211522.0,318218.0,212164.0,2741904.0
2017,2226053.0,318832.0,216052.0,2760937.0
2018,2238709.0,319542.0,219137.0,2777388.0
2019,2262931.0,320101.0,225001.0,2808033.0
2020,2284132.0,319221.0,229282.0,2832635.0
2021,2299606.0,318441.0,,
