year,interstate_lng_plants,interstate_lng_tanks,interstate_operator_count,intrastate_lng_plants,intrastate_lng_tanks,intrastate_operator_count,lng_plants,lng_tanks,operator_count
2021,28,67,27,140,175,64,168,242,88
2020,26,65,25,139,172,65,165,237,87
2019,26,64,25,137,171,68,163,235,90
2018,26,63,25,131,167,66,157,230,88
2017,25,61,24,126,164,64,151,225,85
2016,25,61,24,127,162,63,152,223,85
2015,24,58,23,121,152,62,145,210,83
2014,23,55,22,103,153,63,126,208,83
2013,23,54,22,96,152,62,119,206,83
2012,23,55,22,107,148,62,130,203,82
2011,24,56,22,104,142,60,128,198,80
2010,23,52,21,99,138,59,122,190,78
