year,interstate_type_a_mi,interstate_type_b_mi,interstate_offshore_mi,interstate_total_mi,interstate_operator_count,intrastate_type_a_mi,intrastate_type_b_mi,intrastate_offshore_mi,intrastate_total_mi,intrastate_operator_count,type_a_mi,type_b_mi,offshore_mi,total_mi,operator_ct
2021,117.70,49.3,"5,171.20","5,338.20",36.00,"8,171.80","3,024.00",542.5,"11,738.20",347,"8,289.50","3,073.30","5,713.70","17,076.50",372
2020,131.00,73.1,"5,394.60","5,598.70",38.00,"8,299.20","3,075.60",555,"11,929.70",366,"8,430.20","3,148.70","5,949.50","17,528.40",394
2019,135.10,69,"5,221.10","5,425.20",38.00,"8,510.50","3,206.00",621.1,"12,337.60",368,"8,645.50","3,275.00","5,842.30","17,762.80",397
2018,149.10,61.7,"5,589.20","5,800.00",35.00,"8,296.80","3,206.70",612.6,"12,116.10",363,"8,445.90","3,268.40","6,201.90","17,916.10",388
2017,172.90,84.6,"5,586.00","5,843.50",36.00,"8,436.90","3,159.40",657.5,"12,253.90",344,"8,609.90","3,244.10","6,243.50","18,097.40",372
2016,182.40,69.2,"5,662.50","5,914.00",40.00,"8,075.00","3,192.90",683,"11,950.90",347,"8,257.30","3,262.10","6,345.40","17,864.80",376
2015,155.50,92,"5,272.00","5,519.40",38.00,"8,134.50","3,238.20",890.5,"12,263.30",351,"8,290.00","3,330.20","6,162.50","17,782.70",377
2014,200.30,74,"5,090.60","5,364.90",39.00,"7,645.10","3,522.10",998.1,"12,165.30",343,"7,845.40","3,596.10","6,088.70","17,530.20",369
2013,222.50,129.6,"5,147.30","5,499.30",42.00,"7,403.30","3,541.30",933.2,"11,877.80",330,"7,625.70","3,670.80","6,080.50","17,377.10",360
2012,180.50,88.7,"4,899.30","5,168.50",38.00,"6,772.00","3,544.40","1,047.30","11,363.60",320,"6,952.40","3,633.10","5,946.70","16,532.20",346
2011,329.20,285.1,"5,180.70","5,795.00",36.00,"7,441.30","4,847.60","1,193.10","13,482.00",313,"7,770.60","5,132.70","6,373.80","19,277.00",338
2010,703.30,303.4,"5,512.10","6,518.80",35.00,"6,879.30","5,070.00","1,182.30","13,131.60",302,"7,582.60","5,373.40","6,694.40","19,650.40",324
