title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Administrative Rulemaking-Criminal Referrals,Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,PHMSA is incorporating within its regulations language noting its employees' ability to refer actual or possible criminal activity in connection with PHMSA's jurisdictional statutes directly to the DOT Office of Inspector General (OIG).,87 FR 28779, 2022-09740,https://www.federalregister.gov/documents/2022/05/11/2022-09740/administrative-rulemaking-criminal-referrals,https://www.govinfo.gov/content/pkg/FR-2022-05-11/pdf/2022-09740.pdf,05/11/2022
Pipeline Safety: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act of 1995, this notice announces that the information collection requests abstracted below are being forwarded to the Office of Management and Budget (OMB) for review and comment. A Federal Register notice with a 60-day comment period soliciting comments on the information collections was published on February 2, 2022.",87 FR 28864, 2022-10119,https://www.federalregister.gov/documents/2022/05/11/2022-10119/pipeline-safety-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2022-05-11/pdf/2022-10119.pdf,05/11/2022
"Pipeline Safety: Safety of Gas Gathering Pipelines: Extension of Reporting Requirements, Regulation of Large, High-Pressure Lines, and Other Related Amendments: Response to a Petition for Reconsideration; Technical Corrections; Issuance of Limited Enforcement Discretion",Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is alerting the public to its April 1, 2022, response denying a petition for reconsideration of the final rule titled ``Safety of Gas Gathering Pipelines: Extension of Reporting Requirements, Regulation of Large, High-Pressure Lines, and Other Related Amendments.'' This final rule also makes clarifications and two technical corrections to that rulemaking. Lastly, this final rule memorializes a limited enforcement discretion in connection with that rulemaking's amendment of the regulatory definition of ``incidental gathering.''",87 FR 26296, 2022-09474,https://www.federalregister.gov/documents/2022/05/04/2022-09474/pipeline-safety-safety-of-gas-gathering-pipelines-extension-of-reporting-requirements-regulation-of,https://www.govinfo.gov/content/pkg/FR-2022-05-04/pdf/2022-09474.pdf,05/04/2022
Hazardous Materials: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the Paperwork Reduction Act of 1995, PHMSA invites comments on these information collections pertaining to hazardous materials transportation for which PHMSA intends to request renewal from the Office of Management and Budget.",87 FR 26259, 2022-09408,https://www.federalregister.gov/documents/2022/05/03/2022-09408/hazardous-materials-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2022-05-03/pdf/2022-09408.pdf,05/03/2022
Lithium Battery Air Safety Advisory Committee; Notice of Public Meeting,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,This notice announces a meeting of the Lithium Battery Air Safety Advisory Committee (Committee).,87 FR 23318, 2022-08335,https://www.federalregister.gov/documents/2022/04/19/2022-08335/lithium-battery-air-safety-advisory-committee-notice-of-public-meeting,https://www.govinfo.gov/content/pkg/FR-2022-04-19/pdf/2022-08335.pdf,04/19/2022
Hazardous Materials: Notice of Applications for New Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 22023, 2022-07898,https://www.federalregister.gov/documents/2022/04/13/2022-07898/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-04-13/pdf/2022-07898.pdf,04/13/2022
Hazardous Materials: Notice of Actions on Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 22024, 2022-07899,https://www.federalregister.gov/documents/2022/04/13/2022-07899/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-04-13/pdf/2022-07899.pdf,04/13/2022
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations, notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein.",87 FR 22026, 2022-07901,https://www.federalregister.gov/documents/2022/04/13/2022-07901/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2022-04-13/pdf/2022-07901.pdf,04/13/2022
Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards,Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is revising the Federal Pipeline Safety Regulations applicable to most newly constructed and entirely replaced onshore gas transmission, Type A gas gathering, and hazardous liquid pipelines with diameters of 6 inches or greater. In the revised regulations, PHMSA requires operators of these lines to install rupture-mitigation valves (i.e., remote-control or automatic shut-off valves) or alternative equivalent technologies, and establishes minimum performance standards for those valves' operation to prevent or mitigate the public safety and environmental consequences of pipeline ruptures. This final rule establishes requirements for rupture-mitigation valve spacing, maintenance and inspection, and risk analysis. The final rule also requires operators of gas and hazardous liquid pipelines to contact 9- 1-1 emergency call centers immediately upon notification of a potential rupture and conduct post-rupture investigations and reviews. Operators must also incorporate lessons learned from such investigations and reviews into operators' personnel training and qualifications programs, and in design, construction, testing, maintenance, operations, and emergency procedure manuals and specifications. PHMSA is promulgating these regulations in response to congressional directives following major pipeline incidents where there were significant environmental consequences or losses of human life. The revisions are intended to achieve better rupture identification, response, and mitigation of safety, greenhouse gas, and environmental justice impacts.",87 FR 20940, 2022-07133,https://www.federalregister.gov/documents/2022/04/08/2022-07133/pipeline-safety-requirement-of-valve-installation-and-minimum-rupture-detection-standards,https://www.govinfo.gov/content/pkg/FR-2022-04-08/pdf/2022-07133.pdf,04/08/2022
Pipeline Safety: Agency Request for Emergency Approval of an Information Collection Associated With the Natural Gas Distribution Infrastructure Safety and Modernization Grant Program,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In compliance with the Paperwork Reduction Act (PRA) of 1995, this notice announces that the Information Collection Request (ICR) abstracted below has been forwarded to the Office of Management and Budget (OMB) for emergency approval of a proposed information collection. DOT requests that OMB authorize this collection of information on or before May 14, 2022. Upon receiving the requested six-month emergency approval by OMB, DOT will follow the normal PRA procedures to obtain extended approval for this proposed information collection. The purpose of this collection is to enable eligible municipality and community-owned utilities (not including for-profit entities) to apply for grant assistance under the heading ``Department of Transportation--Pipeline and Hazardous Materials Safety Administration--Natural Gas Distribution Infrastructure Safety and Modernization Grant Program'' in Public Law 117-58. DOT is requesting emergency approval due to the urgency of making the associated funds available to the municipality and community-owned utilities that meet the eligibility requirements under the law.",87 FR 20031, 2022-07315,https://www.federalregister.gov/documents/2022/04/06/2022-07315/pipeline-safety-agency-request-for-emergency-approval-of-an-information-collection-associated-with,https://www.govinfo.gov/content/pkg/FR-2022-04-06/pdf/2022-07315.pdf,04/06/2022
